language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.08  T=0.08 s (3920.3 files/s 491249.2 lines/s)"
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/RSSExpandedReader.h,33,36,52
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/GreyscaleRotatedLuminanceSource.cpp,9,24,51
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/decoder/BitMatrixParser.h,13,20,50
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/InvertedLuminanceSource.cpp,13,16,49
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/GreyscaleLuminanceSource.cpp,13,21,49
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/OneDReader.h,15,21,49
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/CurrentParsingState.cpp,12,0,48
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/BitMatrix.h,18,19,46
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/FinderPattern.cpp,10,0,46
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI01decoder.cpp,12,0,46
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/multi/ByQuadrantReader.cpp,11,19,45
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/BitArrayBuilder.cpp,9,0,45
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/GeneralAppIdDecoder.h,27,27,45
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/QRErrorCorrectionLevel.cpp,14,20,45
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/DecodedNumeric.cpp,11,0,44
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/detector/FinderPatternFinder.h,17,21,44
C/C++ Header,repos/ruangong-0707/qzxing/src/QZXingFilterVideoSink.h,10,16,43
C++,repos/ruangong-0707/qzxing/src/zxing/bigint/BigIntegerUtils.cc,6,1,43
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/BitSource.cpp,10,23,43
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/decoder/DecodedBitStreamParser.h,13,48,43
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/decoder/Mode.h,11,19,43
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/reedsolomon/GenericGF.h,12,20,42
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI01393xDecoder.cpp,14,0,42
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/bigint/BigUnsignedInABase.hh,22,59,41
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/ResultMetadata.h,26,70,41
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/AbstractRSSReader.h,25,26,41
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/DecodedInformation.cpp,10,0,41
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/decoder/DecodedBitStreamParser.h,11,19,41
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/encoder/QRCode.h,10,0,41
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/UPCAReader.cpp,11,20,40
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/Result.cpp,16,21,39
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/HybridBinarizer.h,7,21,39
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/EAN8Reader.cpp,10,17,38
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/decoder/ec/ModulusPoly.h,8,21,38
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/detector/AlignmentPatternFinder.h,12,18,38
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/detector/Detector.h,12,19,38
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/detector/MathUtils.h,10,20,37
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/decoder/ec/ModulusGF.h,11,23,37
C/C++ Header,repos/ruangong-0707/qzxing/src/CameraImageWrapper.h,13,15,36
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/Exception.cpp,10,20,36
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/Result.h,7,18,36
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/aztec/decoder/Decoder.h,13,20,36
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/DataCharacter.cpp,11,0,36
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/detector/QRFinderPattern.cpp,11,28,36
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/aztec/AztecReader.cpp,14,24,34
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/BarcodeFormat.h,8,20,33
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/multi/qrcode/QRCodeMultiReader.cpp,6,19,33
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/RSS14Reader.h,23,20,33
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/bigint/BigIntegerUtils.hh,14,26,32
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/detector/WhiteRectangleDetector.h,8,19,32
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/decoder/ec/ErrorCorrection.h,11,27,32
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/Pair.cpp,10,0,31
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/ExpandedPair.h,20,26,31
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/CurrentParsingState.h,21,26,31
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/decoder/BitMatrixParser.h,10,18,31
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/decoder/BitMatrixParser.h,9,19,30
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI01392xDecoder.cpp,11,0,30
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/ErrorCorrectionLevel.h,9,18,30
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/CharacterSetECI.h,12,16,29
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/detector/MonochromeRectangleDetector.h,13,20,29
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/Code39Reader.h,11,24,29
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI013x0x1xDecoder.h,15,26,29
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/encoder/BlockPair.h,13,0,29
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/encoder/ByteMatrix.h,10,0,29
C/C++ Header,repos/ruangong-0707/qzxing/src/ImageHandler.h,6,15,28
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/Str.cpp,13,20,28
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/multi/GenericMultipleBarcodeReader.h,7,16,28
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/CodaBarReader.h,12,17,28
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/ITFReader.h,10,17,28
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/FormatInformation.h,8,18,28
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/LuminanceSource.h,14,20,27
